Amino Acid Modifications - Gills (Peripheral Tissue)
============================================================
Rank  Change         Count     Description
73    FY             12        Phenylalanine → Tyrosine
74    SC             12        Serine → Cysteine
75    RC             12        Arginine → Cysteine
76    CS             12        Cysteine → Serine
77    SF             11        Serine → Phenylalanine
78    NT             11        Asparagine → Threonine
79    FS             11        Phenylalanine → Serine
80    LS             11        Leucine → Serine
81    AD             11        Alanine → Aspartate
82    YH             10        Tyrosine → Histidine
83    CY             10        Cysteine → Tyrosine
84    QP             10        Glutamine → Proline
85    LP             10        Leucine → Proline
86    RT             9         Arginine → Threonine
87    LQ             9         Leucine → Glutamine
88    IF             9         Isoleucine → Phenylalanine
89    PQ             8         Proline → Glutamine
90    QL             8         Glutamine → Leucine
91    HN             8         Histidine → Asparagine
92    KI             8         Lysine → Isoleucine
93    CF             8         Cysteine → Phenylalanine
94    K*             8         Lysine → Stop
95    TN             7         Threonine → Asparagine
96    PR             7         Proline → Arginine
97    SY             7         Serine → Tyrosine
98    VE             7         Valine → Glutamate
99    FC             7         Phenylalanine → Cysteine
100   EA             7         Glutamate → Alanine
101   FV             7         Phenylalanine → Valine
102   LR             7         Leucine → Arginine
103   PL             7         Proline → Leucine
104   IN             7         Isoleucine → Asparagine
105   Q*             6         Glutamine → Stop
106   MT             6         Methionine → Threonine
107   FI             6         Phenylalanine → Isoleucine
108   MR             6         Methionine → Arginine
109   YN             6         Tyrosine → Asparagine
110   TR             6         Threonine → Arginine
111   SI             6         Serine → Isoleucine
112   EV             6         Glutamate → Valine
113   VG             6         Valine → Glycine
114   DV             6         Aspartate → Valine
115   DH             5         Aspartate → Histidine
116   AP             5         Alanine → Proline
117   MV             5         Methionine → Valine
118   RM             5         Arginine → Methionine
119   HD             5         Histidine → Aspartate
120   L*             5         Leucine → Stop
121   NI             5         Asparagine → Isoleucine
122   GV             5         Glycine → Valine
123   NY             5         Asparagine → Tyrosine
124   DY             4         Aspartate → Tyrosine
125   RW             4         Arginine → Tryptophan
126   HP             4         Histidine → Proline
127   PH             4         Proline → Histidine
128   RL             4         Arginine → Leucine
129   CR             4         Cysteine → Arginine
130   VF             4         Valine → Phenylalanine
131   VD             4         Valine → Aspartate
132   E*             4         Glutamate → Stop
133   DA             3         Aspartate → Alanine
134   MK             3         Methionine → Lysine
135   RP             3         Arginine → Proline
136   IS             3         Isoleucine → Serine
137   LW             3         Leucine → Tryptophan
138   YS             3         Tyrosine → Serine
139   W*             3         Tryptophan → Stop
140   WC             3         Tryptophan → Cysteine
141   WS             2         Tryptophan → Serine
142   LH             2         Leucine → Histidine
143   HL             2         Histidine → Leucine
144   GW             2         Glycine → Tryptophan
145   KM             2         Lysine → Methionine
146   CG             2         Cysteine → Glycine
147   RI             2         Arginine → Isoleucine
148   IK             2         Isoleucine → Lysine
149   S*             2         Serine → Stop
150   WG             2         Tryptophan → Glycine
151   R*             2         Arginine → Stop
152   IR             1         Isoleucine → Arginine
153   *W             1         Stop → Tryptophan
154   WL             1         Tryptophan → Leucine
155   WR             1         Tryptophan → Arginine
156   YD             1         Tyrosine → Aspartate
157   Y*             1         Tyrosine → Stop
158   *R             1         Stop → Arginine
159   C*             1         Cysteine → Stop
